n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
441	WORD	Word16, Word32	Implementation-defined	note	Held in a VM word whose upper bits are kept zero.		lib/basis/wordn_fn.sml:1-4	1	lib-body			no		lib	
442	WORD	Word8	Implementation-defined	stale-comment	Held in a VM word whose upper bits are kept zero; opaquely sealed.	"[lib] Comment calls Word8 ""the only member of the WordN family so far"" (docs/plans/basis.md); STALE: Word16, Word32, Word64 exist."	lib/basis/word8.sml:1-3	1	lib-body			no		lib	
443	ARRAY	eqtype 'a array = 'a array; signature ARRAY	Transcription-fix	note	As VECTOR: a type abbreviation of the top-level array type (equality whatever the element type).	[lib] Page's `eqtype 'a array = 'a array` is not legal SML; transcribed as a type abbreviation to the top-level array type.	lib/basis/sig_array.sml:2-8; tests/basis/spec-sigs/ARRAY.sml:1-7,3-7	3	spec-sigs		Array:ARRAY/*	no	no	lib,mine	98
444	ARRAY2	Array2	Transcription-fix	note	"The header quotes the page as ""i gives the row index, and [j] gives the column index"": the bracketed j is the test author's correction of the page's sentence."		tests/basis/array2.sml:2-11	1	tests	Array2.sub/first, Array2.sub/end-of-first-row, Array2.sub/start-of-last-row		yes		testsA	
445	BOOL	datatype bool; signature BOOL	Transcription-fix	note	Page: `datatype bool = false | true` is illegal (Definition 2.9); written as a datatype replication.	[lib] Page's `datatype bool = false | true` is illegal (Definition 2.9); written as a datatype replication.	docs/basis-compat.md:354-357; lib/basis/sig_bool.sml:2-6; tests/basis/spec-sigs/BOOL.sml:1-5,3-5	4	docs,spec-sigs		Bool:BOOL/*	no	no	lib,mine	94
446	CHAR	sample table of fromString	Transcription-fix	note	"Erratum: third sample ""a\\ \\\q"" is not an SML string; STRING's page has the right one."		docs/basis-compat.md:353; tests/basis/char.sml:393-394	2	docs,tests	Char.fromString/sample-*		yes	no	mine	112
447	CHAR / STRING	types of toString, scan, fromString, toCString, fromCString; signature CHAR; signature STRING	Transcription-fix	note	Kept as written with String.string / Char.char (the signature also serves WideChar/WideString); instance constraints live in *_sig tests.	[lib] Types written with String.string and Char.char are kept as on the page, because the signature also serves WideChar. || [lib] Types written with String.string are kept as on the page, because the signature also serves WideString.	lib/basis/sig_char.sml:2-8; lib/basis/sig_string.sml:2-8; tests/basis/spec-sigs/CHAR.sml:1-7,3-7; tests/basis/spec-sigs/STRING.sml:1-7,3-7	6	spec-sigs		-	no	no	lib,mine	104
448	GENERAL	exception Domain	Transcription-fix	note	Erratum: page says Domain is raised by MATH functions, which never raise it (REAL's floor/ceil/… and sign do).		docs/basis-compat.md:357-358; tests/basis/general.sml:86-88	2	docs,tests	General.Domain/Real.floor-nan		yes	no	mine	114
449	GENERAL	exnMessage example	Transcription-fix	note	"Erratum: the `exnMessage Div = ""Div""` example contradicts 'may vary'."		docs/basis-compat.md:358-359	1	docs		General.exnMessage/*	no	no	mine	115
450	GENERAL	type exn = exn; signature GENERAL	Transcription-fix	note	Read as equating General.exn with the top-level exn.	[lib] Page's `type exn = exn` is read as equating General.exn with the top-level exn.	lib/basis/sig_general.sml:2-6; tests/basis/spec-sigs/GENERAL.sml:1-5,3-5	3	spec-sigs		-	no	no	lib,mine	99
451	LIST	datatype 'a list; signature LIST	Transcription-fix	note	Page: `datatype 'a list = nil | ::` is illegal (Definition 2.9); replication instead.	[lib] Page's datatype specification of nil and :: is illegal (Definition 2.9); written as a datatype replication.	docs/basis-compat.md:354-357; lib/basis/sig_list.sml:2-6; tests/basis/spec-sigs/LIST.sml:1-5,3-5	4	docs,spec-sigs		List:LIST/*	no	no	lib,mine	95
452	MONO_ARRAY2	signature MONO_ARRAY2	Transcription-fix	note	Instance constraints (where type vector/elem) are checked in tests, not written in the signature; traversal is that of Array2.		lib/basis/sig_mono_array2.sml:2-14; tests/basis/spec-sigs/MONO_ARRAY2.sml:1-13	2	spec-sigs			no		lib	
453	OPTION	datatype 'a option; signature OPTION	Transcription-fix	note	NONE and SOME are not forbidden identifiers: transcribed as the page has it (a non-fix, recorded).	[lib] NONE and SOME are not forbidden identifiers, so the datatype is transcribed as the page has it.	lib/basis/sig_option.sml:2-6; tests/basis/spec-sigs/OPTION.sml:1-5,3-5	3	spec-sigs		-	no	no	lib,mine	96
454	OS / POSIX / UNIX	structure OS :> OS, Posix :> POSIX, Unix :> UNIX; signature OS; signature POSIX; signature UNIX	Transcription-fix	note	Opaque declarations of the pages: types not fixed by where-clauses are abstract; checked both ways in *_sig tests.	[lib] Page declares `structure OS :> OS`; tests match OS against the signature both ways. || [lib] Page declares `structure Posix :> POSIX`: types not fixed by `where type` are abstract there. || [lib] Page seals Unix opaquely, making signal abstract; identity with Posix.Signal.signal and Posix.Process.exit_status is checked in tests.	lib/basis/sig_os.sml:2-7; lib/basis/sig_posix.sml:2-10; lib/basis/sig_unix.sml:2-7; tests/basis/spec-sigs/OS.sml:1-6,5-6; tests/basis/spec-sigs/POSIX.sml:1-9,7-9; tests/basis/spec-sigs/UNIX.sml:1-6,3-6	9	spec-sigs		OS:OS/*	no	no	lib,mine	107
455	OS_IO	structure Kind	Transcription-fix	note	Written on one line so that scripts/check-basis-coverage.sh does not take Kind's members for OS.IO's (tooling artefact).		tests/basis/spec-sigs/OS_IO.sml:4-8	1	spec-sigs		OS.IO.Kind.file/*	no	no	mine	108
456	POSIX_ERROR	eqtype syserror = OS.Process.syserror; signature POSIX_ERROR	Transcription-fix	note	OS.Process has no syserror and `eqtype t = ty` is no SML: written `type syserror = OS.syserror`.	[lib] Page's `eqtype syserror = OS.Process.syserror` is wrong twice (no such type; not legal SML); written `type syserror = OS.syserror`.	lib/basis/sig_posix_error.sml:2-8; tests/basis/spec-sigs/POSIX_ERROR.sml:1-7,4-7	3	spec-sigs		-	no	no	lib,mine	100
457	POSIX_FILE_SYS / POSIX_IO / POSIX_PROCESS / POSIX_PROC_ENV / POSIX_SYS_DB / POSIX_TTY	uid, gid, pid, file_desc, signal, open_mode, dirstream, access_mode; signature POSIX_FILE_SYS; signature POSIX_IO; signature POSIX_PROC_ENV; signature POSIX_PROCESS; signature POSIX_SYS_DB; signature POSIX_TTY	Transcription-fix	note	Types left flexible as on the pages; identities stated only in the text or in POSIX's where-clauses are checked in posix_*_sig.sml, not written into the signatures.	[lib] Types kept as written; the prose identities (uid, gid, file_desc, dirstream, access_mode) are checked by tests, not written into the signature. || [lib] The pid, file_desc and open_mode identities imposed by POSIX are checked by tests, not written into the signature. || [lib] pid and file_desc are left flexible as on the page; POSIX fixes pid to Process.pid. || [lib] signal is left flexible as on the page; W is `include BIT_FLAGS` plus untraced. || [lib] uid and gid are left flexible as on the page; POSIX fixes them. || [lib] pid and file_desc are left flexible as on the page; POSIX fixes them.	lib/basis/sig_posix_file_sys.sml:2-13; lib/basis/sig_posix_io.sml:2-11; lib/basis/sig_posix_proc_env.sml:2-6; lib/basis/sig_posix_process.sml:2-8; lib/basis/sig_posix_sys_db.sml:2-6; lib/basis/sig_posix_tty.sml:2-8; tests/basis/spec-sigs/POSIX_FILE_SYS.sml:1-12,7-12; tests/basis/spec-sigs/POSIX_IO.sml:1-10,7-10; tests/basis/spec-sigs/POSIX_PROCESS.sml:1-7,6-7; tests/basis/spec-sigs/POSIX_PROC_ENV.sml:1-5,4-5; tests/basis/spec-sigs/POSIX_SYS_DB.sml:1-5,4-5; tests/basis/spec-sigs/POSIX_TTY.sml:1-7,5-7	18	spec-sigs	Posix:POSIX/FileSys.uid-is-ProcEnv.uid		yes	WIDTH line 337 only	lib,mine	106
458	PRIM_IO / TEXT_IO	WideTextPrimIO, WideTextIO	Transcription-fix	stale-comment	'The optional WideTextPrimIO / WideTextIO is left out' of the transcriptions -- STALE: Rune now has both (tests/basis/widetextio_sig.sml).		tests/basis/spec-sigs/PRIM_IO.sml:9-10; tests/basis/spec-sigs/TEXT_IO.sml:16	2	spec-sigs		WideTextIO:TEXT_IO/*	no	no	mine	110
459	REAL / STRING_CVT	grammars of fmt/scan	Transcription-fix	note	Erratum: the pages lost the grouping of their grammars; restored in the test header.		docs/basis-compat.md:352-353; tests/basis/real_fmt.sml:2-16	2	docs,tests		Real.scan/*	no	no	mine	111
460	SML90	(whole signature); signature SML90	Transcription-fix	note	sml90.html is gone from the site; transcribed from MLton's signature in the order of the page.	[lib] The spec page no longer exists; transcribed from MLton's SML90 signature, in the page's order.	docs/language.md:267; lib/basis/sig_sml90.sml:2-5; tests/basis/spec-sigs/SML90.sml:1-4; tests/basis/sml90.sml:2-7	4	docs,spec-sigs,tests		SML90.*	no	no	lib,mine	109
461	SOCKET	recvVecFrom, recvVecFrom', recvVecFromNB, recvVecFromNB'; signature SOCKET (recvVecFrom*)	Transcription-fix	note	Page's result type `'sock_type sock_addr` is a slip for `'af sock_addr`; written 'af.	[lib] Page's result type `'sock_type sock_addr` for the recvVecFrom family is a slip for 'af sock_addr; written 'af.	lib/basis/sig_socket.sml:2-15; tests/basis/spec-sigs/SOCKET.sml:1-14,8-14	3	spec-sigs		Socket:SOCKET/*	no	no	lib,mine	101
462	SUBSTRING	Substring.position	Transcription-fix	note	"The precise wording forgets the condition k+m <= i+n: the occurrence has to lie within ss (""suff is the longest suffix of ss that has s as a prefix"")."		tests/basis/substring.sml:587-594	1	tests	Substring.position/none-ends-after-the-substring, Substring.position/none-starts-before-the-substring, Substring.position/none-only-after-the-substring, Substring.position/none-only-before-the-substring, Substring.position/none-longer-than-the-substring		yes		testsB	
463	SUBSTRING	exception Span; signature SUBSTRING	Transcription-fix	note	span raises General.Span; the signature does not specify it.	[lib] The exception Span that span raises is General's; the signature does not specify it.	lib/basis/sig_substring.sml:2-7; tests/basis/spec-sigs/SUBSTRING.sml:1-6,5-6	3	spec-sigs		-	no	no	lib,mine	105
464	TEXT	where type CharVector.vector = CharVector.vector	Transcription-fix	note	The page's constraint cannot be written after that of String.string (Definition rule 64: the type is no longer flexible); identity shown on values instead.		tests/basis/text_sig.sml:3-14	1	tests	Text:TEXT/CharVector.vector		yes	no	mine	103
465	TEXT_IO	include IMPERATIVE_IO + structure StreamIO : TEXT_STREAM_IO; signature TEXT_IO	Transcription-fix	note	Not valid SML (respecifies StreamIO); written out: the substructure first with its constraints, then IMPERATIVE_IO in full, then TEXT_IO's members.	[lib] Page's `include IMPERATIVE_IO` with a respecified StreamIO is invalid SML; written as StreamIO first, then IMPERATIVE_IO's members in full; WideTextIO omitted.	lib/basis/sig_text_io.sml:2-17; tests/basis/spec-sigs/BIN_IO_IMP.sml:11-13; tests/basis/spec-sigs/TEXT_IO.sml:1-16,5-14; tests/basis/spec-sigs/TEXT_IO_IMP.sml:11-15	5	spec-sigs		TextIO:TEXT_IO/*	no	no	lib,mine	102
466	VECTOR	eqtype 'a vector = 'a vector; signature VECTOR	Transcription-fix	note	Not a specification of the Definition; written as a type abbreviation of the top-level vector (which admits equality).	[lib] Page's `eqtype 'a vector = 'a vector` is not legal SML; written as a type abbreviation.	docs/basis-compat.md:356; lib/basis/sig_vector.sml:2-7; tests/basis/spec-sigs/VECTOR.sml:1-6,3-6	4	docs,spec-sigs		Vector:VECTOR/*	no	no	lib,mine	97
467	WORD	fmt description	Transcription-fix	note	"Erratum: writes ""Ow"" with a letter O."		docs/basis-compat.md:353-354	1	docs		-	no	no	mine	113
468	(library)	structure Windows	Unimplemented-or-stub	note	Not implemented (no host on the matrix has it on Linux either).		docs/basis-compat.md:163,218-220	2	docs		none	no	no (no @absent line needed: no test)	mine	61
469	POSIX_FILE_SYS	ST.isFIFO, isSock, isChr, isBlk	Unimplemented-or-stub	stale-comment	Comment says the VM reports these kinds as 3 (always false); STALE: vm/sys_posix.c:219-230 already returns 4-7.		lib/basis/posix_filesys.sml:135-138	1	lib-body			no		lib	
470	SML90	SML90.Interrupt	Unimplemented-or-stub	note	Declared but never raised (from source).		lib/basis/sml90.sml:24	1	lib-body			no		lib	
471	SOCKET / INET_SOCK	IPv6; Socket.AF.list, fromString, toString	Unimplemented-or-stub	note	No IPv6: INetSock is IPv4 only (NetHostDB.in_addr is IPv4 dotted text).	"[lib] Only INET and UNIX families; no IPv6; toString gives ""?"" for any other (from source)."	docs/basis-compat.md:218-221; lib/basis/socket.sml:48-57	2	docs,lib-body		none	no	no	lib,mine	60
472	SOCKET	Socket.Ctl.getNREAD, getATMARK, getLINGER; Socket.Ctl.getNREAD, getATMARK	Unimplemented-or-stub	stale-comment	STALE STUB NOTE: docs/plans/basis.md still says these are stubs (answer 0 / false / on-off only); lib/basis/socket.sml:247-269 implements them and socket_ctl.sml pins them (five-bytes, 5.000 s).	[lib] FIONREAD and sockatmark.	docs/plans/basis.md:22,121-122; lib/basis/socket.sml:266-267	3	docs,lib-body	Socket.Ctl.getNREAD/five-bytes, Socket.Ctl.setLINGER/some, Socket.Ctl.getATMARK/before-and-at-the-mark		yes	no	lib,mine	63
473	TEXT_IO	WideTextIO file streams	Unimplemented-or-stub	note	Readers and writers have no positions, no ioDesc, no non-blocking operations, no canInput/avail (from source).		lib/basis/widetextio.sml:149-163	1	lib-body			no		lib	
474	TIMER	Timer.checkGCTime, checkCPUTimes; Timer.checkGCTime; Timer.checkCPUTimes	Unimplemented-or-stub	note	GC time is not measured: checkGCTime is zeroTime and checkCPUTimes reports everything as nongc (row basis.timer is 'Partial').	[lib] Always Time.zeroTime: collector time is not measured. || [lib] gc = {usr = 0, sys = 0} always; nongc carries all the CPU time (from source).	docs/language.md:215; lib/basis/timer.sml:12-14,13-19,18	4	docs,lib-body		Timer.checkGCTime/*, so it passes)	no	no	lib,mine	62
